,funder_name,funder_round_type,funder_round_name,project_name_mapping,funding_usd
240,Optimism Foundation,Retroactive Funding Round,RetroPGF3,Grandine (rust-kzg),147826.69999999998
241,Optimism Foundation,Retroactive Funding Round,RetroPGF3,DefiLab,140296.205
242,Optimism Foundation,Retroactive Funding Round,RetroPGF3,Wildcards Protocol,139130.985
243,Optimism Foundation,Retroactive Funding Round,RetroPGF3,Dapp-Learning,139130.985
244,Optimism Foundation,Retroactive Funding Round,RetroPGF3,Synthetix IPFS Node,139130.985
245,Optimism Foundation,Retroactive Funding Round,RetroPGF3,Optimism Gas Tracker,138845.77000000002
246,Optimism Foundation,Retroactive Funding Round,RetroPGF2,eth.limo,138405.0
247,Optimism Foundation,Retroactive Funding Round,RetroPGF2,Synthetix,137830.5
248,Optimism Foundation,Retroactive Funding Round,RetroPGF2,Cannon,135361.5
249,Optimism Foundation,Retroactive Funding Round,RetroPGF3,Dasy,134920.55500000002
250,Optimism Foundation,Retroactive Funding Round,RetroPGF3,Cielo & UniWhales,133781.41
251,Optimism Foundation,Retroactive Funding Round,RetroPGF3,Blockhead,133781.41
252,Optimism Foundation,Retroactive Funding Round,RetroPGF3,Across,133781.41
253,Optimism Foundation,Retroactive Funding Round,RetroPGF3,Punk Domains & Iggy Social,133781.41
254,Optimism Foundation,Retroactive Funding Round,RetroPGF3,PWN,130435.30500000001
255,Optimism Foundation,Retroactive Funding Round,RetroPGF3,GoPlus Security,129583.125
256,Optimism Foundation,Retroactive Funding Round,RetroPGF2,Nimbus,126027.0
257,Gitcoin Grants,Quadratic Funding Matching Pool,GR12,rotki,124216.63
258,Optimism Foundation,Retroactive Funding Round,RetroPGF3,CryptoStats,124078.78
259,Optimism Foundation,Retroactive Funding Round,RetroPGF3,Another World,121739.625
260,Optimism Foundation,Retroactive Funding Round,RetroPGF3,Mosaic,121739.625
261,Optimism Foundation,Retroactive Funding Round,RetroPGF3,solidity-analyzer,121739.625
262,Optimism Foundation,Retroactive Funding Round,RetroPGF2,Lodestar,119494.5
263,Optimism Foundation,Retroactive Funding Round,RetroPGF2,Teku,117300.0
264,Optimism Foundation,Retroactive Funding Round,RetroPGF3,Crowdmuse,114783.06000000001
265,Gitcoin Grants,Quadratic Funding Community Donations,GR14,JediSwap,114306.27
266,Optimism Foundation,Retroactive Funding Round,RetroPGF3,"hildobby""s Dune dashboards",113043.945
267,Optimism Foundation,Retroactive Funding Round,RetroPGF3,Geo Web,111304.795
268,Optimism Foundation,Retroactive Funding Round,RetroPGF2,Revoke,110235.0
269,Optimism Foundation,Retroactive Funding Round,RetroPGF2,TrueBlocks,107800.5
270,Optimism Foundation,Retroactive Funding Round,RetroPGF3,Revert Finance,106678.705
271,Optimism Foundation,Retroactive Funding Round,RetroPGF2,RadicalxChange Foundation,106482.0
272,Optimism Foundation,Retroactive Funding Round,RetroPGF3,Optimism Prices Contracts,106042.15999999999
273,Optimism Foundation,Retroactive Funding Round,RetroPGF3,Optimystics,104348.265
274,Optimism Foundation,Retroactive Funding Round,RetroPGF3,dm3 protocol,104348.265
